
> funcqc@0.1.0 dev
> tsx src/cli.ts list --limit 898

ID       Name                            CC LOC File                                     Location
-------- ------------------------------- -- --- ---------------------------------------- --------
de0cd4b6 analyze                          1  28 src/analyzers/naming-quality-analyzer.ts 54-88
7f72d908 parseToAST                       1  27 src/analyzers/naming-quality-analyzer.ts 93-121
26d2f40f createParseableSource            2   1 src/analyzers/naming-quality-analyzer.ts 126-139
d1695610 findFunctionNode                13  25 src/analyzers/naming-quality-analyzer.ts 144-176
03c81521 checkBasicNamingRules            1  59 src/analyzers/naming-quality-analyzer.ts 184-246
4ecb77c7 checkSemanticAppropriateness     1  57 src/analyzers/naming-quality-analyzer.ts 254-315
aadab9e5 checkConsistency                 3   4 src/analyzers/naming-quality-analyzer.ts 321-364
91236291 checkRedundancy                  1  33 src/analyzers/naming-quality-analyzer.ts 371-404
e4e3ab2f getReturnTypeFromAST             1  18 src/analyzers/naming-quality-analyzer.ts 409-430
d5c24fee calculateConfidence              1   1 src/analyzers/naming-quality-analyzer.ts 435-457
877132c7 isCamelCase                      1   3 src/analyzers/naming-quality-analyzer.ts 463-466
4f0a4414 toCamelCase                      1   1 src/analyzers/naming-quality-analyzer.ts 468-472
656948d5 hasGenericSuffixes               1   1 src/analyzers/naming-quality-analyzer.ts 474-477
36cb4c50 startsWithActionVerb             1   4 src/analyzers/naming-quality-analyzer.ts 479-482
cf172526 hasValidBooleanPrefix            1   4 src/analyzers/naming-quality-analyzer.ts 484-487
04558431 extractFirstWord                 1   4 src/analyzers/naming-quality-analyzer.ts 489-493
ece94abd isReturnTypeBoolean              1   4 src/analyzers/naming-quality-analyzer.ts 495-498
15781e50 isValidConstructorName           1   3 src/analyzers/naming-quality-analyzer.ts 500-502
d069edca hasGoodVerbNounBalance           1   7 src/analyzers/naming-quality-analyzer.ts 504-513
f7a1f6cd splitCamelCase                   1   1 src/analyzers/naming-quality-analyzer.ts 515-522
8420599d suggestActionVerbs               1   2 src/analyzers/naming-quality-analyzer.ts 524-531
8527beef suggestBooleanNames              1   2 src/analyzers/naming-quality-analyzer.ts 533-540
90609853 extractVerbPatterns              2   6 src/analyzers/naming-quality-analyzer.ts 542-551
1cf36e43 followsVerbPattern               1   4 src/analyzers/naming-quality-analyzer.ts 553-556
acde79e2 extractNamingConventions         4   5 src/analyzers/naming-quality-analyzer.ts 558-566
e4da0c86 followsConventions               1   7 src/analyzers/naming-quality-analyzer.ts 568-576
c4e2d8bb hasRedundantClassPrefix          1   5 src/analyzers/naming-quality-analyzer.ts 578-582
57137af5 removeClassPrefix                1   7 src/analyzers/naming-quality-analyzer.ts 584-590
38a1cf7f extractFilename                  1   5 src/analyzers/naming-quality-analyzer.ts 592-596
1448aebd hasRedundantFilePrefix           1   5 src/analyzers/naming-quality-analyzer.ts 598-602
83ab8efb removeFilePrefix                 1   8 src/analyzers/naming-quality-analyzer.ts 604-611
c3265f4d analyze                          1  28 src/analyzers/type-safety-analyzer.ts    44-78
b96a6319 checkAnyTypeUsage                2  15 src/analyzers/type-safety-analyzer.ts    84-137
8488689d checkTypeAnnotationCompleteness  6  15 src/analyzers/type-safety-analyzer.ts    143-206
ad94e864 checkTypeSpecificity             1  12 src/analyzers/type-safety-analyzer.ts    212-268
cf4762b9 checkReturnTypeExplicitness      1  35 src/analyzers/type-safety-analyzer.ts    274-313
4737dc07 calculateMetrics                 1  14 src/analyzers/type-safety-analyzer.ts    318-330
2452a8ff isAnyType                        1   6 src/analyzers/type-safety-analyzer.ts    336-342
3a834a1e isGenericType                    1   8 src/analyzers/type-safety-analyzer.ts    344-358
51962fb2 findUnsafeTypes                  2   8 src/analyzers/type-safety-analyzer.ts    360-382
82fdfa33 looksLikeVoidFunction            1   1 src/analyzers/type-safety-analyzer.ts    384-396
04a0325a isComplexFunction                1   6 src/analyzers/type-safety-analyzer.ts    398-404
1c632671 isImplicitReturnType             1  11 src/analyzers/type-safety-analyzer.ts    409-422
6acb8842 hasImplicitReturnTypeFromAST     1  25 src/analyzers/type-safety-analyzer.ts    427-461
2b593cc9 countAnyTypes                    2   3 src/analyzers/type-safety-analyzer.ts    463-477
7935f33e countUntypedParameters           3   2 src/analyzers/type-safety-analyzer.ts    479-483
ac084828 usesGenericObjectTypes           1   2 src/analyzers/type-safety-analyzer.ts    485-496
c361b192 analyzeBatch                     1   1 src/analyzers/type-safety-analyzer.ts    501-556
267884ec parseToAST                       1   1 src/analyzers/type-safety-analyzer.ts    561-610
50ae8daa createParseableSource            2   1 src/analyzers/type-safety-analyzer.ts    615-630
036b7059 findFunctionNode                13  25 src/analyzers/type-safety-analyzer.ts    635-667
5f5deb00 constructor                      1  16 src/analyzers/typescript-analyzer.ts     16-31
081244d5 analyzeFile                      1   3 src/analyzers/typescript-analyzer.ts     36-87
3547236b analyzeFilesBatch                1   3 src/analyzers/typescript-analyzer.ts     92-122
52f0c0db analyzeFilesStream               1   1 src/analyzers/typescript-analyzer.ts     128-153
94978c4b extractFunctionInfo              1  57 src/analyzers/typescript-analyzer.ts     155-223
9b533f43 extractMethodInfo                1  68 src/analyzers/typescript-analyzer.ts     225-307
1f52be69 extractConstructorInfo           1  63 src/analyzers/typescript-analyzer.ts     309-384
ca0a5dfa extractVariableFunctions        11  64 src/analyzers/typescript-analyzer.ts     386-474
8b08f92b getFunctionSignature             1   1 src/analyzers/typescript-analyzer.ts     476-483
5aa496e4 getMethodSignature               1   1 src/analyzers/typescript-analyzer.ts     485-493
49deab41 getArrowFunctionSignature        1   1 src/analyzers/typescript-analyzer.ts     495-501
74d9fad0 getConstructorSignature          1   1 src/analyzers/typescript-analyzer.ts     503-508
ff41b717 extractFunctionParameters        4  15 src/analyzers/typescript-analyzer.ts     510-528
0bfd8966 extractMethodParameters          4  15 src/analyzers/typescript-analyzer.ts     530-548
e4bf41ea extractArrowFunctionParameters   4  15 src/analyzers/typescript-analyzer.ts     550-568
54afbf56 extractFunctionReturnType        1  15 src/analyzers/typescript-analyzer.ts     570-587
9313232e extractMethodReturnType          1  15 src/analyzers/typescript-analyzer.ts     589-606
910e8ab3 extractArrowFunctionReturnType   1  15 src/analyzers/typescript-analyzer.ts     608-625
c3a5cecd extractConstructorParameters     4  15 src/analyzers/typescript-analyzer.ts     627-645
976e7056 simplifyType                     1   9 src/analyzers/typescript-analyzer.ts     647-655
b7fa9106 extractPromiseType               1   4 src/analyzers/typescript-analyzer.ts     657-660
f2cfc4a2 calculateFileHash                1   3 src/analyzers/typescript-analyzer.ts     662-664
7ed1fe9e calculateASTHash                 1  12 src/analyzers/typescript-analyzer.ts     666-678
91b99982 calculateSignatureHash           1   3 src/analyzers/typescript-analyzer.ts     680-682
e9dc92a2 generatePhysicalId               1   5 src/analyzers/typescript-analyzer.ts     687-689
6499b459 generateSemanticId               1  19 src/analyzers/typescript-analyzer.ts     695-712
